wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
skarb  pañstwa *AEAAAB ; *- ; AC ;  ; 
sklepienie *AEBAA kolebkowe ; ** ; AE ;  ; 
sklepienie *AEBAA niebieskie ; ** ; AE ; niebo ; 
sklepienie *AEBAA ¿ebrowe ; ** ; AE ;  ; +inne sklepienia
sk³ad  amunicji ; *- ; AC ;  ; #arsena³?
sk³adnik  pokarmowy ; ** ; AC ;  ; 
skok  o tyczce ; *-- ; AC ;  ; 
skok  w dal ; *-- ; AC ;  ; 
skok  wzwy¿ ; *- ; AC ;  ; 
skoki *AGBB narciarskie ; ** ; AG ;  ; 
skoñczona  idiotka ; ** ; AD ;  ; 
skoñczona  kretynka ; ** ; AD ;  ; 
skoñczona  wariatka ; ** ; AD ;  ; #skoñczony dureñ, osio³, wariat itp.
skoñczone  zero ; ** ; AE ;  ; 
skorupa  ziemska ; ** ; AD ; 21 ; 
skostnia³e  palce ; ** ; AG ;  ; 
skostnia³e  pogl¹dy ; ** ; AG ;  ; 
skostnia³e  rêce ; ** ; AG ;  ; 
skóra i koœci ; --- ; AG ; ;  #czm
skrajna  lewica ; ** ; AD ;  ; 
skrajna  nêdza ; ** ; AD ;  ; 
skrajna  prawica ; ** ; AD ;  ; 
skrêt *ACAAAAA  kiszek ; *- ; AC ;  ; 
skrêt *ACAAAAA tu³owia ; *- ; AC ;  ; 
skrót  myœlowy ; ** ; AC ; 21 ; 
skruszona  mina ; ** ; AD ;  ; 
skrytka  pocztowa ; ** ; AD ;  ; 
skrzyd³a  fantazji ; *- ; AG ;  ; 
skrzyd³o  bramy ; *- ; AE ;  ; 
skrzyd³o  drzwi ; *- ; AE ;  ; 
skrzynia  biegów ; *- ; AD ;  ; 
skrzynka  na listy *ACAAAAA ; *-- ; AD ;  ; 
skwaszona  mina ; ** ; AD ;  ; 
slalom  gigant *ACAABAA ; *- ; AC ;  ; 
slalom  specjalny ; ** ; AC ;  ; 
s³aba  strona ; ** ; AD ;  ; 
s³aby  punkt ; ** ; AC ;  ; 
s³odka  idiotka ; ** ; AD ;  ; 
s³odkie  s³ówka ; ** ; AG ;  ; 
s³omiana  wdowa ; ** ; AD ;  ; 
$ s³omiana  wdówka ; ** ; AD ;  ; 
s³omiane  w³osy ; ** ; AG ;  ; 
s³omiany  ogieñ ; ** ; AC ;  ; 
$ s³omiany  zapa³ ; ** ; AC ;  ;
s³omiany  wdowiec ; ** ; AA ;  ;  
s³omkowy  kapelusz ; ** ; AC ; 21 ; 
s³oneczne  okulary *AGAB ; ** ; AG ; 21 ; 
s³ony  rachunek ; ** ; AC ;  ; 
s³oñ  morski ; ** ; AB ;  ; #wariant: mirunga?
s³oñ  w sk³adzie porcelany ; *--- ; AB ;  ; 
s³owa  bez *GBBAA pokrycia ; *-- ; AG ;  ; 
s³ownik  frazeologiczny ; ** ; AC ;  ; 
s³owo  pisane ; ** ; AE ;  ; #21? proza?
s³owo  wstêpne ; ** ; AE ;  ; #wsg?
s³uch  absolutny ; ** ; AC ;  ; 
s³uga *AABCA  bo¿y ; ** ; AA ;  ; #s³uga bo¿a
s³up  cieczy ; *- ; AC ;  ; 
s³up  energetyczny ; ** ; AC ;  ; 
s³up  graniczny ; ** ; AC ;  ; 
s³up  ognia ; *- ; AC ;  ; 
s³up  powietrza ; *- ; AC ;  ; 
s³up  rtêci ; *- ; AC ;  ;
$ s³upek  rtêci ; *- ; AC ;  ; 
s³upek  startowy ; ** ; AC ;  ; 
s³upy  Herkulesa ; *- ; AG ;  ; 
s³u¿ba  bo¿a ; ** ; AD ; 21 ;
s³u¿ba  czynna ; ** ; AD ; 21 ; 
smaczny  k¹sek ; ** ; AC ;  ; 
smak  artystyczny ; ** ; AC ; 21 ; 
smak  estetyczny ; ** ; AC ; 21 ; 
smak  literacki ; ** ; AC ; 21 ; 
smocza  jama ; ** ; AD ;  ; #21?
smuga  cienia ; *- ; AD ;  ; 
soda  oczyszczona ; ** ; AD ;  ; 
sokoli  wzrok ; ** ; AC ; 21 ; 
sole *AGCC od¿ywcze ; ** ; AG ;  ; #+trzeŸwi¹ce
sopel  lodu ; *- ; AC ;  ; 
sowa  b³otna ; ** ; AB ;  ; #termin?
sowa  p³omykówka ; *- ; AB ;  ; 
sowa  uszata ; ** ; AB ;  ; 
sójka  w bok ; *-- ; AD ;  ; 
spirytus  kamforowy ; ** ; AC ;  ; 
spirytus  salicylowy ; ** ; AC ;  ; 
spis *ACAAAAA rzeczy ; *- ; AC ;  ; 
$ spis *ACAAAAA treœci ; *- ; AC ; ;
spokój  filozoficzny ; ** ; AC ; 21 ; 
spo³eczeñstwo  bezklasowe ; ** ; AE ;  ; 
spo³eczna  postawa ; ** ; AD ; 21 ; 
sport  wyczynowy ; ** ; AC ; 21 ; 
sport  zawodowy ; ** ; AC ; 21 ; 
sportowa gra *ADAAA ; ** ; AD ;  ; 
sport wodny ; ** ; AC ;  ; 
sport zimowy ; ** ; AC ;  ; 
spowiedŸ  powszechna ; ** ; AD ;  ; 
spowiedŸ  œwiêta *CAB ; ** ; AD ;  ; 
spó³dzielnia  mieszkaniowa ; ** ; AD ;  ; 
spó³dzielnia  pracy ; *- ; AD ;  ; 
spó³dzielnia  produkcyjna ; ** ; AD ;  ; 
spó³g³oska  miêkka ; ** ; AD ;  ; 
spó³g³oska  twarda ; ** ; AD ;  ; 
spó³ka  akcyjna ; ** ; AD ; SA ; 
spó³ka  handlowa ; ** ; AD ;  ; 
spó³ka  wydawnicza ; ** ; AD ;  ; 
spó³ka  z *GBBAA ograniczon¹ odpowiedzialnoœci¹ ; *--- ; AD ;  ; #wariant: spó³ka z o. o.?
sprawa  cywilna ; ** ; AD ;  ; 
sprawa  nie *GBBBA cierpi¹ca zw³oki *ADAB ; *--- ; AD ; 2341 ; 
sprawa  rozwodowa ; ** ; AD ;  ; 
sprawa  ¿ycia i œmierci ; *--- ; AD ;  ; #kwestia, i/lub 
sprawiedliwoœæ  dziejowa ; ** ; AD ; 21 ; 
sprawa  sercowa ; ** ; AD ;  ; 
sprzeda¿  ratalna ; ** ; AD ;  ; #21?
sprzê¿enie *AEBAA zwrotne ; ** ; AE ;  ; 
srebra  sto³owe ; ** ; AG ;  ; 
srebrne  gody ; ** ; AG ;  ; 
srebrne  wesele ; ** ; AE ;  ; 
srebrny  medal ; ** ; AC ;  ; 
stacja  benzynowa ; ** ; AD ;  ; 
stacja  doœwiadczalna ; ** ; AD ;  ; 
stacja  dysków ; *- ; AD ;  ; 
stacja  klimatyczna ; ** ; AD ;  ; 
stacja  kosmiczna ; ** ; AD ;  ; 
stacja  pomp ; *- ; AD ;  ; #przest.?
stajnia  augiaszowa ; ** ; AD ;  ; 
$ stajnia Augiasza ; *- ; AD ; ;
stal  damasceñska ; ** ; AD ; 21 ; 
stal  nierdzewna ; ** ; AD ; 21 ; 
stalowe  nerwy ; ** ; AG ;  ; 
stan  cywilny ; ** ; AC ;  ; 
stan  krytyczny ; ** ; AC ;  ; 
stan  podgor¹czkowy ; ** ; AC ;  ; 
stan  rzeczy ; *- ; AC ;  ; 
stan  skupienia ; *- ; AC ;  ; 
stan  wojenny ; ** ; AC ;  ; 
stan  wyj¹tkowy ; ** ; AC ;  ; 
stary  druh ; ** ; AA ;  ;
stary  dziad ; ** ; AA ;  ; 
stary  dziwak ; ** ; AA ;  ; 
stary  grat ; ** ; AC ;  ; 
stary  grzyb ; ** ; AA ;  ; 
stary  kawaler ; ** ; AA ;  ; 
stary  koñ *AAABCA ; ** ; AA ;  ; 
stary  piernik *AAADBA ; ** ; AA ;  ; 
stary  pryk ; ** ; AA ;  ; 
stary  przyjaciel ; ** ; AA ;  ; 
stary  rok ; ** ; AC ;  ; 
stary  œwiat ; ** ; AC ; Europa ; 
stary  wróbel ; ** ; AB ;  ; 
stary  wyga *AABDBAB ; ** ; AA ;  ; 
statek  kosmiczny ; ** ; AC ;  ; 
stek  bzdur ; *- ; AC ;  ; 
$ stek  k³amstw ; *- ; AC ;  ; 
sto *DBGB pociech ; -- ; AG ;  ; 
stoicki  spokój ; ** ; AC ;  ; 
stolica  apostolska ; ** ; AD ;  ; #Watykan?
stopa  dyskontowa ; ** ; AD ;  ; 
stopa  procentowa ; ** ; AD ;  ; 
stopieñ *ACACBAA najwy¿szy ; ** ; AC ;  ; #+wy¿szy
stó³  szwedzki ; ** ; AC ; 21 ; 
strajk  g³odowy ; ** ; AC ;  ; 
strajk w³oski ; ** ; AC ; 21 ; 
stra¿  graniczna ; ** ; AD ;  ; 
stra¿  honorowa ; ** ; AD ;  ; 
strefa  bezc³owa ; ** ; AD ;  ; 
strona  czynna ; ** ; AD ;  ; #21?
stró¿  porz¹dku ; *- ; AA ; ;
stró¿ prawa ; *- ; AA ; policjant ;
struna  grzbietowa ; ** ; AD ;  ; 
struny  g³osowe ; ** ; AG ;  ; 
strza³ *ACAAAAA w dziesi¹tkê ; *-- ; AC ;  ; 
strzelec *AAACBA wyborowy ; ** ; AC ; snajper ; #etykieta (strzelcu?)
studia *AGDB dzienne ; ** ; AG ;  ; #21?
studia *AGDB wieczorowe ; ** ; AG ; ; 
studia *AGDB zaoczne ; ** ; AG ;  ; 
studnia  artezyjska ; ** ; AD ; 21 ; 
studnia  bez *GBBAA dna ; *-- ; AD ;  ; 
studnia  g³êbinowa ; ** ; AD ;  ; 
stwardnienie  rozsiane ; ** ; AE ;  ; 
stworzenie  boskie ; ** ; AE ;  ; 
styl  gotycki ; ** ; AC ;  ; 
styl  klasyczny ; ** ; AC ;  ; 
styl  motylkowy ; ** ; AC ;  ; 
styl  telegraficzny ; ** ; AC ;  ; 
sucha  zaprawa ; ** ; AD ;  ; 
suche  liczby ; ** ; AG ;  ; 
suchy  chleb ; ** ; AC ;  ; 
suchy  lód *ACAAAAA ; ** ; AC ;  ; 
suchy  prowiant ; ** ; AC ;  ; 
suknia *ADACBAA  duchowna ; ** ; AD ; 21 ; #wariant: sukienka? 2wo
swoboda  ruchu ; *- ; AD ;  ; 
swobody *AGAAA obywatelskie ; ** ; AG ; 21 ; 
swój *EAABB  ch³op ; ** ; AA ;  ; #2wo
$ swój *EAABB ch³opak ; ** ; AA ;  ; #2wo
$ swój *EAABB cz³owiek ; ** ; AA ;  ; #jw
syn  marnotrawny ; ** ; AA ; 21 ; 
syrena  alarmowa ; ** ; AD ;  ; 
syrena  fabryczna ; ** ; AD ;  ; 
syreni  œpiew ; ** ; AC ;  ; 
system  dziesiêtny ; ** ; AD ;  ; #+inne systemy
sytuacja  podbramkowa ; ** ; AD ; 21 ; 
syzyfowa  praca ; ** ; AD ;  ; 
szala *ADACBABA zwyciêstwa ; *- ; AD ;  ; 
szara  eminencja ; ** ; AD ;  ; 
szara  strefa ; ** ; AD ;  ; 
szare  komórki ; ** ; AG ;  ; 
szare  myd³o ; ** ; AE ;  ; 
szary  cz³owiek ; ** ; AA ;  ; 
szary  sos ; ** ; AC ;  ; 
szary  œwit *ACAAAAA ; ** ; AC ;  ; 
szata  duchowna ; ** ; AD ; 21 ; 
szata  graficzna ; ** ; AD ;  ; 
szata  roœlinna ; ** ; AD ;  ; 
szczeniêcy  wiek ; ** ; AC ;  ; 
szczera  noc ; ** ; AD ;  ; 
szczera  pustka ; ** ; AD ;  ; 
szczere  pole *AEBAA ; ** ; AE ;  ; 
szczêki *ADAB hamulcowe ; ** ; AG ;  ; #lp?
szczur  l¹dowy ; ** ; AB ;  ; 
szczwana  sztuka ; ** ; AD ;  ; 
$ szczwany  lis ; ** ; AB ;  ; 
szczyt  bezczelnoœci ; *- ; AC ;  ; 
szczyt  g³upoty ; *- ; AC ;  ; 
szczyt  marzeñ ; *- ; AC ;  ; 
szermierka  s³owna ; **  ;AD ; 21 ; 
szeroki  gest ; ** ; AC ;  ; 
szerokoœæ  geograficzna ; ** ; AD ;  ; 
szewska  pasja ; ** ; AD ;  ; 
szewski  poniedzia³ek ; ** ; AC ;  ; 
szklana  góra ; ** ; AD ;  ;
szklane  domy ; ** ; AG ;  ; 
szklany  wzrok ; ** ; AC ;  ; 
szk³o kontaktowe ; ** ; AE ;  ; 
$ soczewka kontaktowa ; ** ; AD ; ;
szk³o  butelkowe ; ** ; AE ;  ; 
szk³o  powiêkszaj¹ce ; ** ; AE ; lupa ; 
szko³a  przetrwania ; *- ; AD ;  ; 
szko³a  rodzenia ; *- ; AD ;  ; 
szko³a  ¿ycia ; *- ; AD ;  ; 
szlachta  dr¹¿kowa ; ** ; AD ;  ; 
szlachta  herbowa ; ** ; AD ;  ; 
szlak *ACABA handlowy ; ** ; AC ; 21 ; 
szlify *AGAB generalskie ; ** ; AG ; 21 ; 
szlify *AGAB  oficerskie ; ** ; AG ;  ; 
szmat czasu ; *- ; AC ;  ; 
szmat drogi ; *- ; AC ; ;
szmat ¿ycia ; *- ; AC ;  ; 
szpital  kliniczny ; ** ; AC ;  ; 
sztuczna szczêka *ADAB ; ** ; AD ;  ; 
sztuczne  oddychanie ; ** ; AE ;  ; 
sztuczne  ognie ; ** ; AG ;  ; 
sztuczny  miód ; ** ; AC ; 21 ; 
sztuczny  satelita *ACG ; ** ; AC ;  ; 
sztuka  ludowa ; ** ; AD ;  ; 
sztuka  miêsa ; *- ; AD ;  ; 
sztuka  s³owa ; *- ; AD ;  ; 
sztuka dla sztuki ; *-- ; AD ;  ; 
sztuki  wyzwolone ; ** ; AG ;  ; 
szyk  bojowy ; ** ; AC ;  ; 
œciana  p³aczu ; *- ; AD ;  ; 
œlepa  amunicja ; ** ; AD ;  ; 
œlepa  babka ; ** ; AD ;  ; 
œlepa  fortuna ; ** ; AD ;  ; 
œlepa  kiszka ; ** ; AD ;  ; 
œlepa  uliczka ; ** ; AD ;  ; 
œliska  droga *ADAB ; ** ; AD ;  ; 
œlub  cywilny ; ** ; AC ;  ; 
œmieræ  cywilna ; ** ; AD ; 21 ; 
œmieræ  g³odowa ; ** ; AD ;  ; 
œmieræ  kliniczna ; ** ; AD ; 21 ; 
œmieræ  mêczeñska ; ** ; AD ; 21 ; 
œmiertelna  choroba ; ** ; AD ;  ; 
œmiertelna  chusta ; ** ; AD ;  ; 
œmiertelna  obraza ; ** ; AD ;  ; 
œmiertelne  niebezpieczeñstwo ; ** ; AE ;  ; 
œmiertelne  przera¿enie ; ** ; AE ;  ; 
$ œmiertelny  strach *ACAAAB ; ** ; AC ;  ; 
œmietanka  towarzyska ; ** ; AD ;  ; 
œmigus dyngus ; -- ; AC ;  ; #nazwa 
œpi¹ca *CAA królewna ; ** ; AD ;  ; 
œroda  popielcowa ; ** ; AD ;  ; 
œrodek  ciê¿koœci ; *- ; AC ;  ; 
œrodek  lokomocji ; *- ; AC ;  ; 
œrodek  nasenny ; ** ; AC ;  ; 
œrodek  p³atniczy ; ** ; AC ;  ; 
œrodek czystoœci ; *- ; AC ;  ; 
œrodki *AGBB masowego przekazu ; *-- ; AG ; media ; 
œrodki *AGBB ostro¿noœci ; *- ; AG ;  ; 
œrodek  przymusu ; *- ; AC ;  ; 
œrodek  wyrazu ; *- ; AC ;  ; 
œwiadectwo  dojrza³oœci ; *- ; AE ;  ; 
œwiadectwo  lekarskie ; ** ; AE ;  ; 
œwiadectwo  szkolne ; ** ; AE ;  ; 
œwiadek  obrony ; *- ; AA ;  ; 
œwiadek  oskar¿enia ; *- ; AA ;  ; 
œwiadome  macierzyñstwo ; ** ; AE ;  ; 
œwiat  materialny ; ** ; AC ;  ; 
œwiat  nadprzyrodzony ; ** ; AC ;  ; 
œwiat  pracy ; *- ; AC ;  ; 
œwiat  roœlinny ; ** ; AC ;  ; 
œwiat  zwierzêcy ; ** ; AC ;  ; 
œwiate³ko  w tunelu ; *-- ; AE ;  ; 
œwiatowa  dama ; ** ; AD ;  ; 
œwiatowy  cz³owiek ; ** ; AA ; 21 ; 
œwieca  dymna ; ** ; AD ;  ; 
œwiêta *CAB  cierpliwoœæ ; ** ; AD ;  ; 
œwiêta *CAB inkwizycja ; ** ; AD ;  ; 
œwiêta *CAB  krowa ; ** ; AD ;  ; 
œwiêta *CAB  prawda ; ** ; AD ;  ; 
œwiêta *CAB racja ; ** ; AD ;  ; 
œwiêta *CAB wojna ; ** ; AD ;  ; 
œwiêto  narodowe ; ** ; AE ; 21 ; 
œwinka  morska ; ** ; AB ;  ; 
œwiñski  blondyn *AAADAA ; ** ; AA ;  ; 
œwiñski  kawa³ ; ** ; AA ;  ; 
œwiñskie  oczka ; ** ; AG ;  ; 
tablica  pami¹tkowa ; ** ; AD ;  ; 
tabliczka  mno¿enia ; *- ; AD ;  ; 
tajemnica  lekarska ; ** ; AD ;  ; 
tajemnica  pañstwowa ; ** ; AD ;  ; 
tajemnica  poliszynela ; *- ; AD ;  ; 
tajemnica  s³u¿bowa ; ** ; AD ;  ; 
tajemnica  spowiedzi ; *- ; AD ;  ; 
tajemnice  alkowy ; *- ; AG ;  ; 
tajemnica  wiary ; *- ; AD ;  ; 
tamten *ECABA œwiat ; ** ; AC ;  ; 
taniec  chmielowy ; ** ; AC ;  ; 
taniec  œmierci ; *- ; AC ;  ; 
taryfa  ulgowa ; ** ; AD ; 21 ; 
teatr  kameralny ; ** ; AC ;  ; 
technik *AAACBA dentystyczny ; ** ; AA ;  ; 
teka  ministerialna ; ** ; AD ; 21 ; 
telefon  komórkowy ; ** ; AC ; komórka ; 
telefon  zaufania ; *- ; AC ;  ; 
temperatura  bezwzglêdna ; ** ; AD ;  ; 
temperatura  krytyczna ; ** ; AD ; ; 
temperatura  wrzenia ; *- ; AD ;  ; 
teoria  dziedzicznoœci ; *- ; AD ;  ; 
teoria  ewolucji *ADACBAA ; *- ; AD ;  ; 
teoria  prawdopodobieñstwa ; *- ; AD ;  ; 
têga  g³owa ; ** ; AD ;  ; 
têpa  g³owa ; ** ; AD ;  ; 
tkanka  kostna ; ** ; AD ;  ; #+inne tkanki
t³usty  czwartek ; ** ; AC ;  ; #nazwa
t³usty  druk ; ** ; AC ;  ; 
t³usty  k¹sek ; ** ; AC ; ; 
tor  przeszkód ; *- ; AC ;  ; 
torebka  stawowa ; ** ; AD ;  ; 
torebka  w³osowa ; ** ; AD ;  ; 
totalizator  sportowy ; ** ; AC ;  ; 
towarzystwo  wzajemnej adoracji ; *-- ; AE ;  ; 
trasa  koncertowa ; ** ; AD ;  ; 
tr¹ba  jerychoñska ; ** ; AD ;  ; 
tr¹ba  powietrzna ; ** ; AD ;  ; 
trójka  klasowa ; ** ; AD ; 21 ; 
trójk¹t  bermudzki ; ** ; AC ;  ; 
trójk¹t  ma³¿eñski ; ** ; AC ; 21 ; 
trupia  czaszka ; ** ; AD ;  ; 
$ trupia  g³ówka ; ** ; AD ;  ; 
tryb *ACAAAAA doraŸny ; ** ; AC ;  ; #21?
trybun *AAADAA ludowy ; ** ; AA ;  ; 
trybuna³  konstytucyjny ; ** ; AC ;  ; 
trzcina  cukrowa ; ** ; AD ;  ; 
trzeci  bieg ; ** ; AC ;  ; 
trzecia  osoba ; ** ; AD ;  ; 
trzeŸwoœæ  umys³u ; *- ; AD ;  ; 
trzêsienie *AEBAA ziemi ; *- ; AE ;  ; 
trzoda  chlewna ; ** ; AD ;  ; 
turniej  rycerski ; ** ; AC ;  ; 
twarda  g³owa ; ** ; AD ;  ; 
twarda  rêka ; ** ; AD ;  ; 
twarda  szko³a ; ** ; AD ;  ; 
twarda  waluta ; ** ; AD ;  ; 
twarda  woda ; ** ; AD ;  ; 
twarde  serce ; ** ; AE ;  ; 
twarde  ¿ycie *AEBAA ; ** ; AE ;  ; 
twardy  grunt ; ** ; AC ;  ; 
twardy  sen ; ** ; AC ;  ; 
twarz  pokerzysty ; *- ; AD ;  ; 
tworzywo  sztuczne ; ** ; AE ;  ; #21?
tyczka  grochowa ; ** ; AD ; 21 ; 
tygrysi  skok ; ** ; AC ;  ; 
tytoñ  fajkowy ; ** ; AC ; 21 ; 
tytu³  w³asnoœci ; *- ; AC ;  ; 
ubezpieczenie *AEBAA spo³eczne ; ** ; AE ;  ; 
ubranie *AEBAA do figury ; *-- ; AE ;  ; 
ubranie *AEBAA robocze ; ** ; AE ;  ; 
ucho *AEAAAA igielne ; ** ; AE ;  ; 
uczta  duchowa ; ** ; AD ; 21 ; 
uczta  lukullusowa ; ** ; AD ;  ; 
udar  s³oneczny ; ** ; AC ;  ; 
udzielna  ksiê¿na ; ** ; AD ;  ; 
udzielny  ksi¹¿ê ; ** ; AD ;  ; 
uk³ad  kierowniczy ; ** ; AC ;  ; 
uk³ad  kostny ; ** ; AC ;  ; 
uk³ad  krwionoœny ; ** ; AC ;  ; 
uk³ad  pokarmowy ; ** ; AC ;  ; 
uk³ad  s³oneczny ; ** ; AC ;  ; 
ukryta  sprê¿yna ; ** ; AD ;  ; 
ulga  podatkowa ; ** ; AD ;  ; 
u³amek  dziesiêtny ; ** ; AC ; 21 ; 
umowa  dwustronna ; ** ; AD ;  ; #21?
umowa  najmu ; *- ; AD ;  ; 
umys³  œcis³y ; ** ; AC ; 21 ; 
urlop  bezp³atny ; ** ; AC ; 21 ; 
urlop  dziekañski ; ** ; AC ;  ; 
urlop  macierzyñski ; ** ; AC ;  ; 
urwanie *AEBAA g³owy ; *- ; AE ;  ; 
urz¹d  patentowy ; ** ; AC ;  ; 
urz¹d  stanu cywilnego ; *-- ; AC ; USC ; 
urz¹d  tytularny ; ** ; AC ; 21 ; 
urzêdnik  tytularny ; ** ; AA ;  ; 
ustronne  miejsce ; ** ; AE ;  ; 
uœmiech  fortuny ; *- ; AC ;  ; 
$ uœmiech  losu ; *- ; AC ;  ; 
utarczka  s³owna ; ** ; AD ; 21 ; 
utwór  sceniczny ; ** ; AC ; ; #21?
waga  ciê¿ka ; ** ; AD ;  ; 
waga  kogucia ; ** ; AD ;  ; 
waga  lekka ; ** ; AD ;  ; 
waga  lekkociê¿ka ; ** ; AD ;  ; 
waga  lekkopó³œrednia ; ** ; AD ;  ; 
waga  lekkoœrednia ; ** ; AD ;  ; 
waga  musza ; ** ; AD ;  ; 
waga  piórkowa ; ** ; AD ;  ; 
waga  pó³ciê¿ka ; ** ; AD ;  ; 
wagon  bydlêcy ; ** ; AC ; 21 ; 
walka  byków *ABAC ; *- ; AD ;  ; 
walka  klas *AGAAA ; *- ; AD ;  ; 
$ walka  klasowa ; ** ; AD ;  ; 
walka na s³owa ; *-- ; AD ;  ; 
walka  podziemna ; ** ; AD ; 21 ; 
walka  z *GBBAA wiatrakami ; *-- ; AD ;  ; 
wariackie  papiery *AGAB ; ** ; AG ;  ; 
warsztat  samochodowy ; ** ; AC ;  ; 
wartoœæ  bezwzglêdna ; ** ; AD ; modu³ ; #21?
warunek  konieczny ; ** ; AC ;  ; 
warunki  materialne ; ** ; AG ;  ; 
wata *ADAAA cukrowa ; ** ; AD ; 21 ; 
wata *ADAAA higroskopijna ; ** ; AD ;  ; #termin?
wata *ADAAA szklana ; ** ; AD ;  ; 
wa¿na  figura ; ** ; AD ;  ; 
w¹skie  gard³o ; ** ; AE ;  ; 
wczasy  pod grusz¹ ; *-- ; AG ;  ; 
wdowi  grosz ; ** ; AC ;  ; 
wejœcie  kuchenne ; ** ; AE ; 21 ; 
wentyl  bezpieczeñstwa ; *- ; AC ;  ; 
weso³e  miasteczko ; ** ; AE ;  ; 
wêgiel  brunatny ; ** ; AC ;  ; 
wêgiel  drzewny ; ** ; AC ;  ; 
wêgiel  kamienny ; ** ; AC ;  ; 
wêze³  drogowy ; ** ; AC ;  ; 
wêze³  gordyjski ; ** ; AC ;  ; 
wêze³  ma³¿eñski ; ** ; AC ;  ; 
wêze³  marynarski ; ** ; AC ;  ; 
wêz³y  ch³onne ; ** ; AG ;  ; #lp?
wiadoma rzecz ; -- ; AD ; 21 ; 
widmo  g³odu ; *- ; AE ;  ; 
wieczne  miasto ; ** ; AE ; Rzym ; 
wieczne  pióro ; ** ; AE ;  ; #21?
wieczne  potêpienie ; ** ; AE ;  ; 
wieczny  odpoczynek ; ** ; AC ;  ; 
wieczny  student ; ** ; AA ;  ; 
wieczór *ACAAAAA autorski ; ** ; AC ;  ; #2wo
wieczór *ACAAAAA kawalerski ; ** ; AC ;  ; #2wo
wieczysta  dzier¿awa ; ** ; AD ; 21 ; 
wiek *ACABA balzakowski ; ** ; AC ; 21 ; 
wiek *ACABA  mêski ; ** ; AC ;  ; 
wiek *ACABA  produkcyjny ; ** ; AC ;  ; 
wielb³¹d  dwugarbny ; ** ; AB ; dromader ; 
wielb³¹d  jednogarbny ; ** ; AB ; baktrian ; 
wielcy tego *ECABA œwiata ; *-- ; AG ;  ; 
wielka sztuka ; ** ; AD ;  ; 
wielki  cz³owiek ; ** ; AA ;  ; 
wielki  inkwizytor ; ** ; AA ;  ; 
wieniec  laurowy ; ** ; AC ; 21 ; 
wiersz  bia³y ; ** ; AC ; 21 ; 
wierutna  brednia ; ** ; AD ;  ; 
$ wierutne  k³amstwo ; ** ; AE ;  ; #wierutna bzdura
wierzba  p³acz¹ca ; ** ; AD ;  ; 
wie¿a  z *GBBAA koœci *ADCCA s³oniowej ; *--- ; AD ;  ; 
wiêkszoœæ  bezwzglêdna ; ** ; AD ; 21 ; 
wiêzy  krwi ; *- ; AE ;  ; 
wiêzy  ma³¿eñskie ; ** ; AE ;  ; 
wiêzy  rodzinne ; ** ; AE ;  ; 
wiêŸba  dachowa ; ** ; AD ; 21 ; 
wikt i opierunek ; *-* ; AG ;  ; 
wilcza  jagoda ; ** ; AD ;  ; 
wilcze  ³yko ; ** ; AE ;  ; 
wilcze  prawo ; ** ; AE ;  ; 
wilczy  apetyt ; ** ; AC ;  ; 
wilczy  bilet ; ** ; AC ;  ; 
wilczy  dó³ ; ** ; AC ;  ; 
wilczy  g³ód ; ** ; AC ;  ; 
wilk  morski ; ** ; AA ;  ; 
wilk  w owczej skórze ; *--- ; AB ;  ; 
winne *CAB grono ; ** ; AE ; winogrono ; 
wizja  lokalna ; ** ; AD ;  ; 
w³osy  anielskie ; ** ; AG ;  ; 
woda  gruntowa ; ** ; AD ;  ; 
woda  koloñska ; ** ; AD ;  ; 
woda  królewska ; ** ; AD ;  ; 
woda  kwiatowa ; ** ; AD ;  ; 
woda  letejska ; ** ; AD ;  ; 
woda  ognista ; ** ; AD ;  ; 
woda  sodowa ; ** ; AD ;  ; 
woda  utleniona ; ** ; AD ;  ; 
woda na m³yn ; *-- ; AD ;  ; 
wojna  domowa ; ** ; AD ;  ; 
wojna  na górze ; *-- ; AD ;  ; 
wojna  podjazdowa ; ** ; AD ;  ; 
wojna  totalna ; ** ; AD ; ; 
wolna  elekcja ; ** ; AD ;  ; 
wolna  konkurencja ; ** ; AD ;  ; 
wolna  rêka ; ** ; AD ;  ; 
wolna  sobota ; ** ; AD ;  ; 
wolnoœæ  osobista ; ** ; AD ;  ; #21?
wolnoœæ  sumienia ; *- ; AD ;  ; 
woreczek  ¿ó³ciowy ; ** ; AC ;  ; 
worek  bez *GBBAA dna *AEAAAB ; *-- ; AC ;  ; 
worek  pokutny ; ** ; AC ;  ; #wór pokutny
worek  treningowy ; ** ; AC ;  ; 
wotum nieufnoœci ; -- ; AE ;  ; 
wotum zaufania ; -- ; AE ;  ; 
wóz  drabiniasty ; ** ; AC ;  ; #21?
wóz  techniczny ; ** ; AC ;  ; 
wózek  inwalidzki ; ** ; AC ;  ; 
wprawne  oko *AEACA ; ** ; AE ;  ; #dwa wzorce odmiany
wróg  klasowy ; ** ; AA ;  ; 
wróg  ludu ; *- ; AA ;  ; 
wróg  publiczny ; ** ; AA ;  ; 
wróg  œmiertelny ; ** ; AA ;  ; 
wschodz¹ca  gwiazda ; ** ; AD ;  ; 
wschód  s³oñca ; *- ; AC ;  ; 
wspólnota  duchowa ; ** ; AD ; 21 ; 
wspólnota  pierwotna ; ** ; AD ; 21 ; 
